Timestamp,Please confirm the following before proceeding:,What is your role or job title?,How long have you worked in your current position?,How long has your organization been using AI in inventory or supply chain management?,What is the size of the company that you work in?,Your organization primarily operate in which sector?,Which AI technologies are currently implemented in your organization/Company?  ,"Before implementing AI,  What was your average inventory turnover ratio? ","  Before implementing AI, on average, how many stockouts occurred per month?  ","Before implementing AI,  what was your monthly cost of labor in inventory operations? ","Before implementing AI,  what was your monthly logistics and transportation cost? "," Before implementing AI, ow frequently did you experience delayed order fulfilment?  ","After implementing AI,  what is your current average inventory turnover ratio? ","After Implementing AI,  how many stockouts occur per month now? ","After implementing AI,  What is your current monthly labor cost in inventory? ","After implementing AI,  what is your current monthly logistics and transportation cost? ","After implementing AI,  how frequently do you now experience delayed order fulfilment? ",AI has significantly reduced inventory-related errors in your organization.  , Your have experienced fewer stockouts since implementing AI  , AI-based replenishment is more flexible than your previous semi-automated system  ,Automation in your organization distribution centers has decreased both costs and wait times.  ,Your organization/Company has seen improvements in order fulfilment efficiency.  , Predictive analytics have improved your organization inventory forecasting accuracy  ,Initial setup costs were a significant barrier to adopting AI.  ,Data privacy and security concerns influence your organization AI adoption decisions  , AI systems are easy to use and integrate into existing operations in your organization/company ,I trust the recommendations provided by AI systems  , Your organization/company dependency on AI systems has grown over time.  , AI helps your company/organization identify and prevent overstocking and spoilage  , What factors influenced your organization’s decision to adopt or not adopt AI for inventory management?  , Would you recommend AI-based inventory systems to other organizations?  ,AI tools have made your organization supply chain more resilient during disruptions.,How satisfied are you with the performance of AI in your supply chain management?  , How would you rate your confidence in AI-based decision-making  ,In which areas has AI had the most significant positive impact in your organization?  
6/2/2025 1:50,I understand the purpose of this study,Other________________,1-2 years,1 - 2 years,50 - 200 Employees,Health,Other_____________________,2 – 4,None,Not sure,Not sure,Rarely,Not sure,Not sure,Not sure,Not sure,Rarely,Strongly agree,Strong Agree,Strongly agree,Yes,Strongly agree,Strongly agree,Maybe,Strongly agree,Strongly Agree,Strongly Agree,Strongly agree,Strongly agree,Other_____________,No,Yes,Very Satisfied,Low,"Labour efficiency, Service levels"
6/2/2025 1:52,I understand the purpose of this study,Inventory Manager,3 - 5 years,Over 5 Years,Less than 50 employees,Retail,AI-driven restocking/replenishment,Not Sure,3- 5 times,"$1,000 – $4,999","$1,000 – $4,999",Occasionally,8 – 10,More than 10 times,"$20,000 or more","$10,000 – $19,999",Frequently,Strongly agree,Agree,Agree,Yes,Agree,Strongly agree,No,Agree,Strongly Agree,Neutral,Neutral,Strongly agree,"Technical expertise, Vendor availability, Executive support",Yes,Yes,Very Satisfied,High,"Inventory turnover, Service levels"
6/2/2025 1:53,I understand the purpose of this study,Operations Manager,3 - 5 years,1 - 2 years,50 - 200 Employees,Retail,Predictive analytics,More than 10,1-2 times,"Less than $1,000","$5,000 – $9,999",Rarely,8 – 10,3 – 5 times,"$1,000 – $4,999","Less than $1,000",Rarely,Strongly Disagree,Disagree,Agree,No,Neutral,Strongly agree,Maybe,Disagree,Strongly Disagree,Neutral,Agree,Strongly agree,Technical expertise,No,No,Very Dissatisfied,Moderate,Cost reduction
6/2/2025 1:54,I understand the purpose of this study,Inventory Manager,Less than 1 year,Less than 12 months,50 - 200 Employees,Retail,AI-powered warehouse robots,2 – 4,None,Not sure,"Less than $1,000",Rarely,2 – 4,None,"Less than $1,000","Less than $1,000",Rarely,Strongly Disagree,Disagree,Strongly disagree,Yes,Strongly disagree,Strongly disagree,Yes,Strongly disagree,Strongly Disagree,Stronly Disagree,Strongly disagree,Strongly disagree,Cost,Yes,No,Neutral,Very Low,Inventory turnover
6/2/2025 1:56,I understand the purpose of this study,Supply Chain Analysts,1-2 years,Less than 12 months,50 - 200 Employees,Health,AI-driven restocking/replenishment,2 – 4,Not Sure,Not sure,Not sure,Rarely,Not sure,Not sure,Not sure,Not sure,Rarely,Agree,Strong Agree,Strongly agree,No,Neutral,Neutral,Maybe,Strongly agree,Strongly Agree,Strongly Agree,Strongly agree,Strongly agree,Executive support,No,Yes,Very Dissatisfied,Very Low,Stock accuracy
6/2/2025 1:58,I understand the purpose of this study,Other________________,Less than 1 year,Less than 12 months,Less than 50 employees,Health,AI-driven restocking/replenishment,Less than 2,None,"Less than $1,000",Not sure,Rarely,Less than 2,None,Not sure,Not sure,Occasionally,Strongly Disagree,Agree,Strongly disagree,Yes,Strongly disagree,Strongly disagree,Maybe,Strongly disagree,Strongly Disagree,Stronly Disagree,Strongly disagree,Disagree,Technical expertise,Yes,Yes,Very Satisfied,Very Low,Stock accuracy
6/2/2025 2:01,I understand the purpose of this study,Inventory Manager,Less than 1 year,Less than 12 months,Less than 50 employees,Health,AI-driven restocking/replenishment,8 – 10,3- 5 times,"$1,000 – $4,999","Less than $1,000",Rarely,Less than 2,None,"Less than $1,000","Less than $1,000",Frequently,Strongly Disagree,Strongly disagree,Neutral,Yes,Disagree,Strongly disagree,No,Disagree,Strongly Disagree,Disagree,Agree,Strongly disagree,Cost,Yes,Yes,Dissatisfied,Very Low,Stock accuracy
6/2/2025 2:08,I understand the purpose of this study,Inventory Manager,Less than 1 year,Less than 12 months,Less than 50 employees,Manufacturing,AI-driven restocking/replenishment,Not Sure,Not Sure,Not sure,Not sure,Rarely,Not sure,Not sure,Not sure,Not sure,Rarely,Strongly Disagree,Strongly disagree,Strongly disagree,Yes,Disagree,Strongly disagree,Yes,Strongly disagree,Strongly Disagree,Stronly Disagree,Strongly disagree,Strongly disagree,Cost,Yes,Yes,Very Dissatisfied,Low,Inventory turnover
6/2/2025 2:09,I understand the purpose of this study,Inventory Manager,Less than 1 year,1 - 2 years,Less than 50 employees,Health,AI-driven restocking/replenishment,Less than 2,None,"Less than $1,000","Less than $1,000",Rarely,Less than 2,None,"Less than $1,000","Less than $1,000",Rarely,Disagree,Strongly disagree,Strongly disagree,Yes,Strongly disagree,Strongly disagree,Yes,Strongly disagree,Strongly Disagree,Disagree,Disagree,Strongly disagree,Vendor availability,Yes,Yes,Neutral,Low,Stock accuracy
6/2/2025 2:10,I understand the purpose of this study,Inventory Manager,Less than 1 year,Less than 12 months,Less than 50 employees,Health,Predictive analytics,2 – 4,None,"Less than $1,000","Less than $1,000",Rarely,2 – 4,More than 10 times,"$1,000 – $4,999",Not sure,Frequently,Agree,Neutral,Disagree,No,Strongly disagree,Strongly disagree,Maybe,Disagree,Disagree,Disagree,Agree,Neutral,Technical expertise,Maybe,Yes,Very Dissatisfied,Very Low,Stock accuracy
6/2/2025 2:12,I understand the purpose of this study,Inventory Manager,Less than 1 year,Less than 12 months,More than 500 employees,Logistics/Transportation,AI-driven restocking/replenishment,Less than 2,Not Sure,Not sure,Not sure,Very Frequently,Less than 2,Not sure,Not sure,Not sure,Occasionally,Agree,Neutral,Agree,Maybe,Strongly agree,Neutral,Yes,Neutral,Neutral,Neutral,Disagree,Strongly disagree,Technical expertise,Yes,Yes,Dissatisfied,Moderate,Labour efficiency
6/2/2025 2:23,I understand the purpose of this study,Inventory Manager,Less than 1 year,Less than 12 months,50 - 200 Employees,Health,AI-driven restocking/replenishment,Less than 2,3- 5 times,"$20,000 or more","$5,000 – $9,999",Very Frequently,Not sure,Not sure,"$5,000 – $9,999",Not sure,Occasionally,Disagree,Agree,Agree,No,Neutral,Neutral,No,Neutral,Agree,Neutral,Disagree,Neutral,Technical expertise,No,Yes,Neutral,Very High,Labour efficiency
6/2/2025 2:24,I understand the purpose of this study,Inventory Manager,Less than 1 year,Less than 12 months,Less than 50 employees,Health,Predictive analytics,8 – 10,Not Sure,"$10,000 – $19,999",Not sure,Very Frequently,Not sure,Not sure,Not sure,Not sure,Very Frequently,Strongly agree,Agree,Disagree,Yes,Disagree,Strongly disagree,Yes,Agree,Agree,Agree,Strongly disagree,Strongly disagree,Technical expertise,Yes,No,Satisfied,Very Low,Stock accuracy
6/2/2025 2:26,I understand the purpose of this study,Inventory Manager,Less than 1 year,Less than 12 months,Less than 50 employees,Health,AI-driven restocking/replenishment,Not Sure,Not Sure,Not sure,Not sure,Frequently,5 – 7,More than 10 times,"$10,000 – $19,999","$20,000 or more",Frequently,Strongly agree,Agree,Strongly agree,Maybe,Strongly disagree,Strongly disagree,Yes,Disagree,Strongly Agree,Agree,Disagree,Strongly agree,Technical expertise,Maybe,Maybe,Very Satisfied,Very Low,Stock accuracy
